[14:3:20][ÊÀ½ç][R_ST]Amouons(9) [V]: kao 
[14:3:30][ÊÀ½ç]DONJIsama(8): Õ¦ÁËÕ¨¸ç
[18:37:43][ÊÀ½ç]DONJIsama(8): ÎÒ°ÑÎÒ»¯·à³ØÂôÁËÅâÄãÇ®
[18:37:44][ÊÀ½ç]AssoXD(11): £¿£¿£¿£¿
[18:39:47][ÊÀ½ç][ShadowTT]MuineTawny(9): Ü³
[18:39:51][ÊÀ½ç][ShadowTT]MuineTawny(9): »¹ÊÇÌ«´óÊÕ²»»ØÀ´
[18:39:51][ÊÀ½ç]AssoXD(11): hhh
[18:42:1][ÊÀ½ç]DONJIsama(8): ¼¸µã¿ªÅÄ°¡
[18:42:7][ÊÀ½ç]AssoXD(11): ¶¼ĞĞ
[18:42:12][ÊÀ½ç]AssoXD(11): ÊìÁ·ÁË¾Í¿ÉÒÔÁË
[18:42:52][ÊÀ½ç]DONJIsama(8): ÔÛÊÔÒ»°Ñ£¿
[18:42:56][ÊÀ½ç]DONJIsama(8): woc
[18:42:59][ÊÀ½ç]AssoXD(11): hhh
[18:43:0][ÊÀ½ç]AssoXD(11): Ã¨Ã¨ÄØ
[18:43:3][ÊÀ½ç]DONJIsama(8): ËÀÁË
[18:43:6][ÊÀ½ç]AssoXD(11): RIP
[18:45:32][ÊÀ½ç][R_ST]Amouons(13) [V]: 1
[18:45:48][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]:  /T GOTO ID
[18:46:51][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒ¶ª°üÂÊÓĞµã¸ß
[18:46:53][ÊÀ½ç][ShadowTT]MuineTawny(9): 60
[18:47:38][ÊÀ½ç][ShadowTT]MuineTawny(9): ÓÎÓ¾
[18:48:13][ÊÀ½ç][ShadowTT]MuineTawny(9): Ëø¸ç
[18:48:19][ÊÀ½ç][ShadowTT]MuineTawny(9): donji
[18:48:21][ÊÀ½ç][ShadowTT]MuineTawny(9): À´DF
[18:48:33][ÊÀ½ç][ShadowTT]MuineTawny(9): Õâ´Î¿ÉÒÔ¿ØÖÆ×¡´ó½Ç¶ÈÁË
[18:48:39][ÊÀ½ç]DONJIsama(8): ÅÄÒ»ÏÂ
[18:48:41][ÊÀ½ç]DONJIsama(8): Âğ
[18:48:44][ÊÀ½ç][ShadowTT]MuineTawny(9): ¹ıUÍäÕâ³µ±ØĞë90¶È
[18:48:49][ÊÀ½ç][ShadowTT]MuineTawny(9): ÄÑÎ¬³Ö
[18:48:54][ÊÀ½ç][ShadowTT]MuineTawny(9): ÅÄ°É
[18:49:9][ÊÀ½ç][ShadowTT]MuineTawny(9): Ë÷¸çÄØ
[18:49:53][ÊÀ½ç][ShadowTT]MuineTawny(9): ´ó ³µ »ö
[18:50:2][ÆµµÀ-8]AssoXD(11): Ã¨ Ğ¡ÊÀ½ç
[18:50:5][ÊÀ½ç][ShadowTT]MuineTawny(9): ´ÓÍ·À´°É
[18:50:5][ÆµµÀ-8]AssoXD(11): ÀÏ´óÊåµÄ
[18:50:7][ÊÀ½ç]DONJIsama(8): À´ÎÒĞ¡ÊÀ½ç
[18:50:35][ÆµµÀ-8]AssoXD(11): µÈÏÂ
[18:50:39][ÆµµÀ-8]AssoXD(11): µ÷ÏÂÂ¼ÖÆ
[18:51:0][ÆµµÀ-8]DONJIsama(8): Äã½øÓïÒô
[18:51:1][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÔÛÁ©ÏÈÁ·Ï°
[18:51:4][ÆµµÀ-8]DONJIsama(8): ²»ÓÃËµ»°
[18:51:48][ÆµµÀ-8][ShadowTT]MuineTawny(9): ½øÈ¥ÁË
[18:52:57][ÆµµÀ-8][ShadowTT]MuineTawny(9): az
[18:53:1][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÄãÕ¦»ØÊÂ
[18:57:1][ÆµµÀ-8]AssoXD(11): É½¶¥µÈÄãÃÇ
[18:57:45][ÆµµÀ-8][ShadowTT]MuineTawny(9): À´É½¶¥°¡
[18:57:54][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÎÒÄÜ×·donjiÁË
[18:57:57][ÆµµÀ-8][ShadowTT]MuineTawny(9): e.e
[18:58:8][ÆµµÀ-8][ShadowTT]MuineTawny(9): donjiÑ¹Á¦¿ÉÒÔĞ¡Ò»µãÁË
[18:59:14][ÆµµÀ-8][ShadowTT]MuineTawny(9): Ü³
[19:1:34][ÆµµÀ-8]AssoXD(11): ²İ
[19:1:44][ÆµµÀ-8]AssoXD(11): µÍËÙÍäÄÜ¿ìµã¹ı¾Í¿ìµã¹ı
[19:1:53][ÆµµÀ-8][ShadowTT]MuineTawny(9): OK
[19:1:57][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÖØÀ´?
[19:1:59][ÆµµÀ-8]AssoXD(11):  Äã
[19:2:0][ÆµµÀ-8]AssoXD(11): àÅ
[19:2:0][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]:  /T GOTO ID
[19:2:36][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÖØÀ´°É
[19:2:37][ÆµµÀ-8][ShadowTT]MuineTawny(9): ×·Î²ÁË
[19:5:18][ÆµµÀ-8][ShadowTT]MuineTawny(9): °¡Õâ
[19:5:21][ÆµµÀ-8][ShadowTT]MuineTawny(9): »ØÀ´
[19:5:30][ÆµµÀ-8][ShadowTT]MuineTawny(9): donjiÄãËÙ¶ÈÒªÆ½¾ùÒ»µã
[19:5:38][ÆµµÀ-8][ShadowTT]MuineTawny(9): Ì«¿ìÌ«ÂıÁËÎÒ°ÑÎÕ²»ºÃ½Ú×à
[19:5:39][ÆµµÀ-8]DONJIsama(8): Í³Ò»Êı¾İ°É
[19:5:42][ÆµµÀ-8]DONJIsama(8): Äã°ÑÊı¾İ·¢ÎÒ
[19:5:44][ÆµµÀ-8]DONJIsama(8): ÎÒ×°ÄãµÄ
[19:5:46][ÆµµÀ-8][ShadowTT]MuineTawny(9): ºÃ
[19:5:50][ÆµµÀ-8]DONJIsama(8): **
[19:5:53][ÆµµÀ-8]DONJIsama(8): q           q
[19:9:20][ÆµµÀ-8][ShadowTT]MuineTawny(9): ËÀÍöÇïÇ§
[19:10:9][ÆµµÀ-8][ShadowTT]MuineTawny(9): donji»¹Ã»À´°¡
[19:10:37][ÆµµÀ-8][ShadowTT]MuineTawny(9): ²İ
[19:11:46][ÆµµÀ-8][ShadowTT]MuineTawny(9): °¡Õâ
[19:14:5][ÆµµÀ-8][ShadowTT]MuineTawny(9): donjiÌ«¿ìÁË
[19:14:6][ÆµµÀ-8]AssoXD(11): ÎÒÉÏ¸ö²ŞËù ÄãÃÇÏÈÁ·
[19:14:17][ÆµµÀ-8][ShadowTT]MuineTawny(9): ²İ
[19:14:17][ÆµµÀ-8]DONJIsama(8): ÎÒÊÔ³µÄØ
[19:14:20][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÄãÂıµãÅÜ
[19:14:22][ÆµµÀ-8][ShadowTT]MuineTawny(9): Õâ¸ú²»ÉÏ
[19:14:23][ÆµµÀ-8]DONJIsama(8): ËùÒÔpush
[19:14:25][ÆµµÀ-8][ShadowTT]MuineTawny(9): e.e
[19:17:1][ÆµµÀ-8][ShadowTT]MuineTawny(9): e.e
[19:17:7][ÆµµÀ-8][ShadowTT]MuineTawny(9): Ë÷¸ç»¹Ã»³Ô±¥?
[19:23:11][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÌÀÆÕÄá
[19:26:18][ÆµµÀ-8][ShadowTT]MuineTawny(9): donji
[19:26:20][ÆµµÀ-8][ShadowTT]MuineTawny(9): À´ºÍÎÒ×·
[19:28:43][ÆµµÀ-8]Gemzf(10): sz
[19:31:6][ÆµµÀ-8][ShadowTT]MuineTawny(9): ²İ
[19:33:5][ÆµµÀ-8][ShadowTT]MuineTawny(9): donjiÌ«¿ì
[19:33:9][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÉÔÎ¢ÂıÒ»µã
[19:37:33][ÆµµÀ-8][ShadowTT]MuineTawny(9): Å£±Æ
[19:37:35][ÆµµÀ-8][ShadowTT]MuineTawny(9): ÎÒÈ¥³Ô·¹
[19:40:39][ÊÀ½ç]Coid(13): Í»È»ÕâÃ´¶àÈËQAQ
[19:40:58][ÆµµÀ-8]Gemzf(10): ¶ÔÑ½
[19:41:35][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]: BEST1
[19:41:37][ÊÀ½ç][R_ST]FunnySnake1111(12) [V]: BEST1
[19:41:54][ÊÀ½ç]Coid(13): Ö÷ÒªÓĞµã¿¨- -
[19:43:0][ÊÀ½ç]DONJIsama(8): èªÏÄ¸ç»¹ÏşµÃÎÒÂğ
[19:43:11][ÊÀ½ç]Coid(13): dongji
[19:43:19][ÊÀ½ç]Gemzf(10): ID13ÄãÏşµÃÎÒ²»
[19:43:22][ÊÀ½ç]DONJIsama(8): Ì«¸Ğ¶¯ÁË
[19:43:28][ÊÀ½ç]Coid(13): ÕÅ·«
[19:43:40][ÊÀ½ç]Coid(13): .V.V
[19:43:44][ÊÀ½ç]Gemzf(10): ºÙºÙ 
[19:45:20][ÊÀ½ç]Coid(13):  = =ÎªÃ«FPSÕâÃ´µÍ
[19:47:58][ÊÀ½ç]Coid(13): e.e ÓĞ·ÀÅö×²
[19:48:4][ÊÀ½ç]Coid(13):  /sz
[19:59:5][ÆµµÀ-8]AssoXD(11): ĞÖµÜÃÈ
[19:59:6][ÆµµÀ-8]AssoXD(11): GKD
[19:59:22][ÆµµÀ-8]AssoXD(11): ÈıºÏ»á
[20:1:41][ÊÀ½ç]AssoXD(11): HHH
[20:2:4][ÊÀ½ç][ShadowTT]MuineTawny(9): ÅÄÂğ
[20:2:14][ÊÀ½ç][ShadowTT]MuineTawny(9): ÎÒµÈ»á¶ùµÃÏÂÁË
[20:3:2][ÊÀ½ç][ShadowTT]MuineTawny(9): ÂåÊ¥¶¼¾¯²ì¾Ö
[20:3:11][ÊÀ½ç][ShadowTT]MuineTawny(9): Ë÷¸ç
[20:3:13][ÊÀ½ç][ShadowTT]MuineTawny(9): »¹ÅÄ²»ÅÄ
[20:3:28][ÊÀ½ç]AssoXD(11): àÅ
[20:3:36][ÊÀ½ç]AssoXD(11): ÀÏ´óÊåÔÚË¢MISC
[20:3:38][ÊÀ½ç]AssoXD(11): Äã½øÓïÒô
[20:4:33][ÊÀ½ç]AssoXD(11): Ã¨ É½¶¥
[20:4:49][ÊÀ½ç][ShadowTT]MuineTawny(9): µÈÎÒÒ»ÏÂ
[20:6:34][ÊÀ½ç][ShadowTT]MuineTawny(9): »ØÀ´ÁË
[20:13:1][ÊÀ½ç][R_ST]Amouons(8) [V]: ..
[20:17:49][ÊÀ½ç][ShadowTT]MuineTawny(9): ÅÄÍêÁË?
[20:22:9][ÊÀ½ç]DONJIsama(14): »¹ĞĞ
