[21:43:22][世界]ASKKKKK(10): 在哪呢涛哥
[21:57:41][世界]ASKKKKK(10): 我4.4的山路
[21:57:44][世界][Zephyr]_Guy(9): 奥对你可能没有
[21:57:49][世界]hamigua(8): 我是4.2的
[21:57:51][世界]ASKKKKK(10): 涛哥4.2的
[21:57:51][世界][Zephyr]_Guy(9): 对4.4有正丸没春线
[21:57:57][世界]ASKKKKK(10): 啊这
[21:58:6][世界]ASKKKKK(10): 你们先
[21:58:7][世界]ASKKKKK(10): 我卡
[21:58:32][世界]hamigua(8): hhh
[21:58:34][世界]ASKKKKK(10): 哈哈哈
[21:58:34][世界][Zephyr]_Guy(9): ...
[21:58:36][世界]hamigua(8): wori
[21:59:29][世界][Zephyr]_Guy(9): 卡尔约翰逊
[22:0:18][世界]hamigua(8): *** gay 怎么不跑了
[22:0:20][世界]ASKKKKK(10): 哈哈哈哈哈哈
[22:0:24][世界]hamigua(8): 我卡进去了e.e
[22:0:31][世界][Zephyr]_Guy(9): 等等
[22:0:37][世界][Zephyr]_Guy(9): 回来一下
[22:0:44][世界][Zephyr]_Guy(9): 这个山你们能看到吗
[22:0:46][世界]hamigua(8): 咋了
[22:0:49][世界]hamigua(8): 可以
[22:0:50][世界][Zephyr]_Guy(9): 我车头这边
[22:0:56][世界]hamigua(8): 那个就是吗
[22:0:56][世界]ASKKKKK(10): 没有啊
[22:1:4][世界]hamigua(8): 我可以看到 另外一个山
[22:1:9][世界]ASKKKKK(10): 完了是不是你们都是其他版本的
[22:1:15][世界]ASKKKKK(10): 只有我是4.4的
[22:1:15][世界]hamigua(8): W  4/2
[22:1:15][世界][Zephyr]_Guy(9): w
[22:1:28][世界][Zephyr]_Guy(9): 我4.9.5
[22:1:33][世界]hamigua(8): fa qunli
[22:1:34][世界]hamigua(8): 发群里
[22:1:34][世界]ASKKKKK(10): 涛哥你飞过去试试
[22:2:7][世界]hamigua(8): kandedao w m 
[22:2:10][世界]hamigua(8): 看得到我吗
[22:2:23][世界]ASKKKKK(10): 群里有
[22:2:28][世界]ASKKKKK(10): 我去装
[22:2:31][世界]ASKKKKK(10): 你们玩着
[22:2:37][世界]hamigua(8): w  ye qu
[22:2:57][世界][Zephyr]_Guy(9): itc
[22:3:1][世界][Zephyr]_Guy(9): fire
[22:3:7][世界][Zephyr]_Guy(9): rst
[22:3:11][世界][Zephyr]_Guy(9): falcon
[22:3:17][世界][Zephyr]_Guy(9): shadows
[22:3:18][世界][Zephyr]_Guy(9): shadow
[22:3:31][世界][Zephyr]_Guy(9): ITC
[22:5:43][世界][Zephyr]_Guy(9): 金钱
[22:5:47][世界][Zephyr]_Guy(9): 毒品
[22:5:52][世界][Zephyr]_Guy(9): 利益
[22:5:55][世界][Zephyr]_Guy(9): 卡尔
[22:8:53][世界][Zephyr]_Guy(9): ROCKSTAR
[22:8:56][世界][Zephyr]_Guy(9): ROCK STAR
[22:9:1][世界][Zephyr]_Guy(9): Rock Star
[22:9:4][世界][Zephyr]_Guy(9): RockStar
[22:9:8][世界][Zephyr]_Guy(9): rockstar
[23:5:0][世界][Zephyr]_Guy(9): Fire
[23:5:22][世界][Zephyr]_Guy(9): 。。。。。
[23:5:53][世界][Zephyr]_Guy(9):  /tp
[23:8:32][世界][Zephyr]_Guy(9):  /help
[23:15:19][世界][Zephyr]_Guy(9):  /q
