[12:24:26][世界][R_ST]DONJI(8): ei         
[19:54:10][世界][R_ST]DONJI(8): 233         
[19:54:35][世界][R_ST]DONJI(8): 强哥有兴许制霸山路吗         
[19:54:39][世界][R_ST]DONJI(8): 兴趣         
[19:54:43][世界][Shadows]F_Hawk(9): 有          
[19:54:48][世界][Shadows]F_Hawk(9): 就是没那个水平         
[19:55:18][世界][R_ST]DONJI(8): 谁信         
[19:55:19][世界][R_ST]DONJI(8): 1.3啊         
[19:55:23][世界][R_ST]DONJI(8): 我没装         
[19:55:25][世界][Shadows]F_Hawk(9): en         
[19:55:30][世界][R_ST]DONJI(8): 我试试不退游戏装         
[19:56:23][世界][R_ST]DONJI(8): 不想         
[19:56:32][世界][R_ST]DONJI(8): custom.img游戏打开了         
[19:56:37][世界][R_ST]DONJI(8): 不行         
[19:56:41][世界][R_ST]DONJI(8): 报错了都         
[19:56:41][世界][Shadows]F_Hawk(9): 你是4.6?         
[19:56:42][世界][R_ST]DONJI(8): 233         
[19:56:44][世界][R_ST]DONJI(8): 是啊         
[19:56:49][世界][R_ST]DONJI(8): 我去换1.3         
[19:58:35][世界][R_ST]DONJI(8): 还是熟悉的幻想山         
[19:58:46][世界][R_ST]DONJI(8): 我都快2年没玩这个山了         
[19:58:50][世界][R_ST]DONJI(8): 强哥来         
[19:58:54][世界][R_ST]DONJI(8):  //hxs         
[20:0:36][世界][Shadows]F_Hawk(9): 我可真菜         
[20:0:39][世界][R_ST]DONJI(8): 没开防碰撞         
[20:0:42][世界][R_ST]DONJI(8):  /sz开         
[20:1:31][世界][R_ST]DONJI(8): ping大         
[20:2:11][世界][Shadows]F_Hawk(9): 没氮气了         
[20:3:50][世界][R_ST]DONJI(8): wc         
[20:3:56][世界][R_ST]DONJI(8): 这地方没护栏啊         
[20:3:59][世界][Shadows]F_Hawk(9): 网好像不好         
[20:4:6][世界][Shadows]F_Hawk(9): 我重进         
[20:6:41][世界][R_ST]DONJI(8): jiuzhe          
[20:6:48][世界][R_ST]DONJI(8): 制作名单         
[20:7:2][世界][R_ST]DONJI(8): 08年         
[20:7:14][世界][Shadows]F_Hawk(9): ntls32         
[20:7:27][世界][R_ST]DONJI(8): 这是         
[20:7:56][世界][R_ST]DONJI(8): 08年我还搁****都市呢         
[20:8:0][世界][R_ST]DONJI(8): 罪                                           恶         
[20:9:3][世界][R_ST]DONJI(8): 强哥你玩吧         
[20:9:5][世界][R_ST]DONJI(8): 我下了         
[20:9:6][世界][R_ST]DONJI(8): 88         
[20:9:7][世界][Shadows]F_Hawk(9): ok         
[20:15:0][世界][Shadows]F_Hawk(9): wd/ldz         
